sample_number,date_time,temperature_water,sub_pressure,level_m
2,1/12/2018 13:15,16.046,163.74,2.183014428
3,1/12/2018 13:30,14.23,163.81,2.183947682
4,1/12/2018 13:45,14.038,163.84,2.184347648
5,1/12/2018 14:00,14.038,163.84,2.184347648
6,1/12/2018 14:15,14.038,163.69,2.182347818
7,1/12/2018 14:30,14.038,163.88,2.184880936
8,1/12/2018 14:45,13.942,163.72,2.182747784
9,1/12/2018 15:00,14.038,164.12,2.188080664
10,1/12/2018 15:15,14.038,164,2.1864808
11,1/12/2018 15:30,13.942,164.09,2.187680698
12,1/12/2018 15:45,13.942,164.12,2.188080664
13,1/12/2018 16:00,13.942,164.1,2.18781402
14,1/12/2018 16:15,13.942,163.78,2.183547716
15,1/12/2018 16:30,14.038,163.74,2.183014428
16,1/12/2018 16:45,14.038,164.15,2.18848063
17,1/12/2018 17:00,14.038,164.31,2.190613782
18,1/12/2018 17:15,13.942,164.36,2.191280392
19,1/12/2018 17:30,13.942,164.34,2.191013748
20,1/12/2018 17:45,14.038,164.44,2.192346968
21,1/12/2018 18:00,14.038,164.53,2.193546866
22,1/12/2018 18:15,13.942,164.59,2.194346798
23,1/12/2018 18:30,13.942,164.53,2.193546866
24,1/12/2018 18:45,13.942,164.58,2.194213476
25,1/12/2018 19:00,13.942,164.52,2.193413544
26,1/12/2018 19:15,14.038,164.79,2.197013238
27,1/12/2018 19:30,14.038,164.67,2.195413374
28,1/12/2018 19:45,14.038,164.66,2.195280052
29,1/12/2018 20:00,14.038,164.6,2.19448012
30,1/12/2018 20:15,14.038,164.53,2.193546866
31,1/12/2018 20:30,14.038,164.7,2.19581334
32,1/12/2018 20:45,14.038,164.71,2.195946662
33,1/12/2018 21:00,13.942,164.71,2.195946662
34,1/12/2018 21:15,13.942,164.77,2.196746594
35,1/12/2018 21:30,13.942,164.7,2.19581334
36,1/12/2018 21:45,13.942,164.77,2.196746594
37,1/12/2018 22:00,14.038,164.75,2.19647995
38,1/12/2018 22:15,13.942,164.77,2.196746594
39,1/12/2018 22:30,13.942,164.83,2.197546526
40,1/12/2018 22:45,13.942,164.83,2.197546526
41,1/12/2018 23:00,14.038,164.75,2.19647995
42,1/12/2018 23:15,14.038,164.69,2.195680018
43,1/12/2018 23:30,14.038,164.81,2.197279882
44,1/12/2018 23:45,14.038,164.87,2.198079814
45,1/13/2018 0:00,13.942,164.77,2.196746594
46,1/13/2018 0:15,13.942,164.87,2.198079814
47,1/13/2018 0:30,13.942,164.7,2.19581334
48,1/13/2018 0:45,13.942,164.81,2.197279882
49,1/13/2018 1:00,14.038,164.91,2.198613102
50,1/13/2018 1:15,14.038,164.86,2.197946492
51,1/13/2018 1:30,14.038,164.86,2.197946492
