sample_num,date_time,cond,temp
1,04/05/18 14:00,23019.3,20.69
2,04/05/18 14:15,22691.7,20.92
3,04/05/18 14:30,22507.9,21.07
4,04/05/18 14:45,22034.9,21.77
5,04/05/18 15:00,20642.6,22.6
6,04/05/18 15:15,20799,22.89
7,04/05/18 15:30,20663.6,23.06
8,04/05/18 15:45,20695.1,23.1
9,04/05/18 16:00,20970.2,23.11
10,04/05/18 16:15,21420.6,22.83
11,04/05/18 16:30,21637.9,22.91
12,04/05/18 16:45,21674.1,23.05
13,04/05/18 17:00,22394.7,22.84
14,04/05/18 17:15,23024.4,22.59
15,04/05/18 17:30,23041.4,22.63
16,04/05/18 17:45,24504.4,22.45
17,04/05/18 18:00,24406.1,22.45
18,04/05/18 18:15,24637.1,22.39
19,04/05/18 18:30,24721.7,22.37
20,04/05/18 18:45,25030.5,22.24
21,04/05/18 19:00,24575.3,22.41
22,04/05/18 19:15,24270,22.41
23,04/05/18 19:30,24193.2,22.43
24,04/05/18 19:45,24586.5,22.48
25,04/05/18 20:00,24489.5,22.6
26,04/05/18 20:15,24467.3,22.67
27,04/05/18 20:30,24365.5,22.68
28,04/05/18 20:45,24603.3,22.63
29,04/05/18 21:00,24409.8,22.64
30,04/05/18 21:15,24189.5,22.67
31,04/05/18 21:30,24345.3,22.65
32,04/05/18 21:45,24411.7,22.63
33,04/05/18 22:00,24317.7,22.6
34,04/05/18 22:15,24140.4,22.6
35,04/05/18 22:30,24105.9,22.64
36,04/05/18 22:45,24384,22.65
37,04/05/18 23:00,24337.9,22.59
38,04/05/18 23:15,24125.9,22.61
39,04/05/18 23:30,24266.3,22.58
40,04/05/18 23:45,24233.4,22.48
41,04/06/18 0:00,24086,22.21
42,04/06/18 0:15,24006.5,22.04
43,04/06/18 0:30,24151.3,22.09
44,04/06/18 0:45,23979.5,22
45,04/06/18 1:00,23073.7,21.93
46,04/06/18 1:15,23720.8,21.98
47,04/06/18 1:30,23931,22.05
48,04/06/18 1:45,24317.7,22.27
49,04/06/18 2:00,24595.8,22.46
50,04/06/18 2:15,24551,22.5
51,04/06/18 2:30,24415.4,22.51
52,04/06/18 2:45,24270,22.46
53,04/06/18 3:00,24487.7,22.41
54,04/06/18 3:15,24445,22.34
55,04/06/18 3:30,24476.5,22.35
56,04/06/18 3:45,24543.5,22.39
57,04/06/18 4:00,24482.1,22.37
58,04/06/18 4:15,24459.8,22.39
59,04/06/18 4:30,24441.3,22.41
60,04/06/18 4:45,24176.8,22.24
61,04/06/18 5:00,24026.3,22.22
62,04/06/18 5:15,23889.8,22.11
63,04/06/18 5:30,24080.6,22.06
64,04/06/18 5:45,23975.9,22.15
65,04/06/18 6:00,23485.4,21.84
66,04/06/18 6:15,24266.3,22.03
67,04/06/18 6:30,24469.1,22.03
68,04/06/18 6:45,24246.2,21.92
69,04/06/18 7:00,24295.6,21.98
70,04/06/18 7:15,23909.5,21.56
71,04/06/18 7:30,24073.3,21.62
72,04/06/18 7:45,23979.5,21.56
73,04/06/18 8:00,24191.4,21.52
74,04/06/18 8:15,23975.9,21.51
75,04/06/18 8:30,23389.7,21.02
76,04/06/18 8:45,23706.7,21.13
77,04/06/18 9:00,24058.8,21.29
78,04/06/18 9:15,23772.2,21.15
79,04/06/18 9:30,23588.6,21.05
80,04/06/18 9:45,23384.5,20.86
81,04/06/18 10:00,22631.9,20.43
82,04/06/18 10:15,22965.1,20.69
83,04/06/18 10:30,23272.2,21.05
84,04/06/18 10:45,23301.5,20.72
85,04/06/18 11:00,22430.7,20.25
86,04/06/18 11:15,22116.9,20.39
87,04/06/18 11:30,23089,20.7
88,04/06/18 11:45,23044.8,20.95
89,04/06/18 12:00,22751.7,20.96
90,04/06/18 12:15,22781.8,21.29
91,04/06/18 12:30,22280.5,21.21
92,04/06/18 12:45,22017.3,21.5
93,04/06/18 13:00,21164.2,22.5
94,04/06/18 13:15,21315.2,22.54
95,04/06/18 13:30,21439.3,22.69
96,04/06/18 13:45,21447.1,22.63
97,04/06/18 14:00,21611.2,22.98
98,04/06/18 14:15,21338.4,22.97
99,04/06/18 14:30,21713.5,22.88
100,04/06/18 14:45,21779.9,22.83
101,04/06/18 15:00,21837,23.06
102,04/06/18 15:15,21659.9,23.05
103,04/06/18 15:30,21835.4,23.14
104,04/06/18 15:45,21832.2,23.04
105,04/06/18 16:00,21868.8,22.81
106,04/06/18 16:15,21894.2,22.75
107,04/06/18 16:30,21907,23.05
108,04/06/18 16:45,21958.1,23.02
109,04/06/18 17:00,22034.9,22.88
110,04/06/18 17:15,21958.1,22.98
111,04/06/18 17:30,21969.2,23.02
112,04/06/18 17:45,21993.2,22.88
113,04/06/18 18:00,21946.9,22.89
114,04/06/18 18:15,21914.9,22.94
115,04/06/18 18:30,21916.5,22.8
116,04/06/18 18:45,21908.6,22.68
117,04/06/18 19:00,21852.9,22.67
118,04/06/18 19:15,21794.1,22.58
119,04/06/18 19:30,21746.7,22.52
120,04/06/18 19:45,21735.6,22.39
121,04/06/18 20:00,21686.7,22.27
122,04/06/18 20:15,21666.2,22.19
123,04/06/18 20:30,21600.2,22.01
124,04/06/18 20:45,21522,21.92
125,04/06/18 21:00,21231.9,21.76
126,04/06/18 21:15,21395.8,21.53
127,04/06/18 21:30,21353.9,21.43
128,04/06/18 21:45,21295.1,21.25
129,04/06/18 22:00,21167.3,21.1
130,04/06/18 22:15,21156.5,21
131,04/06/18 22:30,21011.3,20.91
132,04/06/18 22:45,20879.1,20.9
133,04/06/18 23:00,21161.1,20.93
134,04/06/18 23:15,21151.9,20.84
135,04/06/18 23:30,21025,20.61
136,04/06/18 23:45,20771.8,20.45
137,04/07/18 0:00,20894.2,20.33
138,04/07/18 0:15,20860.9,20.23
139,04/07/18 0:30,20814.1,20.09
140,04/07/18 0:45,20735.7,19.97
141,04/07/18 1:00,20841.3,19.98
142,04/07/18 1:15,20551.4,19.77
143,04/07/18 1:30,20526.1,19.7
144,04/07/18 1:45,20608.2,19.67
145,04/07/18 2:00,20575.3,19.6
146,04/07/18 2:15,20970.2,19.73
147,04/07/18 2:30,22693.4,20.11
148,04/07/18 2:45,23287.7,20.39
149,04/07/18 3:00,23356.8,20.38
150,04/07/18 3:15,23075.4,20.2
151,04/07/18 3:30,23253.3,20.08
152,04/07/18 3:45,23341.2,19.77
153,04/07/18 4:00,23822,19.63
154,04/07/18 4:15,23839.8,19.56
155,04/07/18 4:30,23476.7,19.35
156,04/07/18 4:45,23282.6,19.27
157,04/07/18 5:00,23126.5,19.25
158,04/07/18 5:15,23087.3,19.17
159,04/07/18 5:30,23072,19.17
160,04/07/18 5:45,22631.9,19.17
161,04/07/18 6:00,22919.5,19.17
162,04/07/18 6:15,22842.1,19.17
163,04/07/18 6:30,22778.5,19.19
164,04/07/18 6:45,22761.7,19.23
165,04/07/18 7:00,22597.1,19.25
166,04/07/18 7:15,21954.9,19.3
167,04/07/18 7:30,22661.8,19.41
168,04/07/18 7:45,22626.9,19.41
169,04/07/18 8:00,22149.2,19.34
170,04/07/18 8:15,22514.5,19.34
171,04/07/18 8:30,22411,19.29
172,04/07/18 8:45,22251.2,19.29
173,04/07/18 9:00,22781.8,19.38
174,04/07/18 9:15,20605.2,18.72
175,04/07/18 9:30,20426.4,18.55
176,04/07/18 9:45,20481.4,18.68
177,04/07/18 10:00,20529,18.87
178,04/07/18 10:15,20456.1,18.83
179,04/07/18 10:30,20541,18.89
180,04/07/18 10:45,20624.6,18.92
181,04/07/18 11:00,20594.7,18.99
182,04/07/18 11:15,20797.5,19.19
183,04/07/18 11:30,20509.7,19.6
184,04/07/18 11:45,21236.5,19.89
185,04/07/18 12:00,21459.6,20.3
186,04/07/18 12:15,21346.2,20.35
187,04/07/18 12:30,21400.4,20.57
188,04/07/18 12:45,21829,20.55
189,04/07/18 13:00,21787.8,20.94
190,04/07/18 13:15,21770.4,21.05
191,04/07/18 13:30,21848.1,21.22
192,04/07/18 13:45,21914.9,21.61
193,04/07/18 14:00,21539.1,21.26
194,04/07/18 14:15,22092.8,22
195,04/07/18 14:30,22360.3,22.33
196,04/07/18 14:45,22399.6,22.44
197,04/07/18 15:00,22840.5,22.58
198,04/07/18 15:15,22855.6,22.59
199,04/07/18 15:30,21098.3,22.39
200,04/07/18 15:45,22738.4,22.52
201,04/07/18 16:00,22746.7,22.67
202,04/07/18 16:15,22946.5,22.73
203,04/07/18 16:30,22711.7,22.78
204,04/07/18 16:45,22847.2,22.86
205,04/07/18 17:00,22885.8,22.88
206,04/07/18 17:15,22941.5,22.99
207,04/07/18 17:30,22575.6,22.97
208,04/07/18 17:45,22708.4,22.99
209,04/07/18 18:00,22909.4,23.01
210,04/07/18 18:15,22904.4,23.04
211,04/07/18 18:30,22855.6,23.16
212,04/07/18 18:45,22884.2,23.11
213,04/07/18 19:00,22864,22.99
214,04/07/18 19:15,22673.4,22.81
215,04/07/18 19:30,22698.4,22.68
216,04/07/18 19:45,22583.9,22.52
217,04/07/18 20:00,22452,22.34
218,04/07/18 20:15,22402.8,22.22
219,04/07/18 20:30,22360.3,22.11
220,04/07/18 20:45,22278.8,22
221,04/07/18 21:00,22134.7,21.75
222,04/07/18 21:15,22047.8,21.52
223,04/07/18 21:30,21895.8,21.26
224,04/07/18 21:45,21895.8,21.21
225,04/07/18 22:00,21743.5,21.06
226,04/07/18 22:15,21579.8,20.96
227,04/07/18 22:30,21561.1,20.86
228,04/07/18 22:45,23375.9,21.26
229,04/07/18 23:00,22481.6,20.99
230,04/07/18 23:15,24010.1,21.2
231,04/07/18 23:30,23625.5,21.1
232,04/07/18 23:45,22514.5,20.7
233,04/08/18 0:00,24006.5,20.84
234,04/08/18 0:15,24791.7,21.02
235,04/08/18 0:30,23664.3,20.69
236,04/08/18 0:45,25585.7,20.54
237,04/08/18 1:00,25279.1,20.56
238,04/08/18 1:15,24560.3,20.23
239,04/08/18 1:30,24002.9,19.9
240,04/08/18 1:45,23539.5,19.93
241,04/08/18 2:00,23555.3,19.93
242,04/08/18 2:15,23504.6,19.9
243,04/08/18 2:30,23170.9,19.92
244,04/08/18 2:45,23080.5,19.92
245,04/08/18 3:00,23116.3,19.9
246,04/08/18 3:15,23241.3,19.89
247,04/08/18 3:30,23419.2,19.87
248,04/08/18 3:45,23511.6,19.89
249,04/08/18 4:00,23473.2,19.88
250,04/08/18 4:15,23522.1,19.92
251,04/08/18 4:30,23494.1,19.9
252,04/08/18 4:45,23499.3,19.94
253,04/08/18 5:00,23141.9,19.77
254,04/08/18 5:15,23106,19.8
255,04/08/18 5:30,23014.2,19.63
256,04/08/18 5:45,22693.4,19.41
257,04/08/18 6:00,23029.5,19.48
258,04/08/18 6:15,23438.4,19.71
